,Player Name,Pos,Value,NFL_Team
0,Ja'Marr Chase,WR1,9992,CIN
1,Justin Jefferson,WR2,9941,MIN
2,Saquon Barkley,RB1,9835,PHI
3,Lamar Jackson,QB1,9504,BAL
4,Jahmyr Gibbs,RB2,9454,DET
5,Bijan Robinson,RB3,9293,ATL
6,Amon-Ra St. Brown,WR3,9203,DET
7,Josh Allen,QB2,8811,BUF
8,CeeDee Lamb,WR4,8563,DAL
9,Derrick Henry,RB4,8558,BAL
10,A.J. Brown,WR5,8497,PHI
11,Jayden Daniels,QB3,8340,WAS
12,Malik Nabers,WR6,8320,NYG
13,Kyren Williams,RB5,8244,LAR
14,Nico Collins,WR7,8176,HOU
15,De'Von Achane,RB6,8118,MIA
16,Breece Hall,RB7,7991,NYJ
17,Christian McCaffrey,RB8,7960,SFO
18,Jalen Hurts,QB4,7948,PHI
19,Brock Bowers,TE1,7941,LVR
20,Puka Nacua,WR8,7770,LAR
21,Joe Mixon,RB9,7746,HOU
22,Kenneth Walker III,RB10,7663,SEA
23,Garrett Wilson,WR9,7466,NYJ
24,Drake London,WR10,7452,ATL
25,Jonathan Taylor,RB11,7344,IND
26,Joe Burrow,QB5,7327,CIN
27,Alvin Kamara,RB12,7202,NOS
28,George Pickens,WR11,7157,PIT
29,Brian Thomas Jr.,WR12,7102,JAC
30,Marvin Harrison Jr.,WR13,7062,ARI
31,James Cook,RB13,7010,BUF
32,Trey McBride,TE2,6972,ARI
33,David Montgomery,RB14,6912,DET
34,Jaxon Smith-Njigba,WR14,6850,SEA
35,Tee Higgins,WR15,6833,CIN
36,Cooper Kupp,WR16,6832,LAR
37,Tyreek Hill,WR17,6812,MIA
38,Brian Robinson,RB15,6783,WAS
39,DeVonta Smith,WR18,6709,PHI
40,DK Metcalf,WR19,6652,SEA
41,Josh Jacobs,RB16,6636,GBP
42,Zay Flowers,WR20,6597,BAL
43,Kyler Murray,QB6,6583,ARI
44,Ladd McConkey,WR21,6511,LAC
45,Terry McLaurin,WR22,6490,WAS
46,Jayden Reed,WR23,6451,GBP
47,Isiah Pacheco,RB17,6379,KCC
48,Patrick Mahomes,QB7,6370,KCC
49,Jordan Love,QB8,6362,GBP
50,Mike Evans,WR24,6362,TBB
51,George Kittle,TE3,6354,SFO
52,Chuba Hubbard,RB18,6340,CAR
53,Deebo Samuel,WR25,6294,SFO
54,Aaron Jones,RB19,6266,MIN
55,Baker Mayfield,QB9,6194,TBB
56,Rome Odunze,WR26,6158,CHI
57,Bucky Irving,RB20,6131,TBB
58,Brock Purdy,QB10,6119,SFO
59,Chase Brown,RB21,6112,CIN
60,Jameson Williams,WR27,6051,DET
61,C.J. Stroud,QB11,6007,HOU
62,Josh Downs,WR28,5992,IND
63,D'Andre Swift,RB22,5989,CHI
64,Travis Kelce,TE4,5942,KCC
65,J.K. Dobbins,RB23,5844,LAC
66,Sam LaPorta,TE5,5834,DET
67,D.J. Moore,WR29,5824,CHI
68,Rhamondre Stevenson,RB24,5779,NEP
69,Darnell Mooney,WR30,5666,ATL
70,Davante Adams,WR31,5651,NYJ
71,James Conner,RB25,5643,ARI
72,Jaylen Waddle,WR32,5626,MIA
73,T.J. Hockenson,TE6,5563,MIN
74,Chris Olave,WR33,5551,NOS
75,David Njoku,TE7,5542,CLE
76,Tank Dell,WR34,5501,HOU
77,Jared Goff,QB12,5495,DET
78,Jordan Addison,WR35,5432,MIN
79,Bo Nix,QB13,5395,DEN
80,Keon Coleman,WR36,5394,BUF
81,Najee Harris,RB26,5382,PIT
82,Kyle Pitts,TE8,5368,ATL
83,Rashee Rice,WR37,5288,KCC
84,Tony Pollard,RB27,5284,TEN
