,Player Name,Pos,Value
0,CeeDee Lamb,WR1,9996
1,Tyreek Hill,WR2,9926
2,Breece Hall,RB1,9899
3,Bijan Robinson,RB2,9831
4,Christian McCaffrey,RB3,9786
5,Justin Jefferson,WR3,9451
6,Amon-Ra St. Brown,WR4,9280
7,Ja'Marr Chase,WR5,8655
8,A.J. Brown,WR6,8564
9,Josh Allen,QB1,8500
10,Garrett Wilson,WR7,8462
11,Saquon Barkley,RB4,8443
12,Jonathan Taylor,RB5,8178
13,Jahmyr Gibbs,RB6,8111
14,Patrick Mahomes,QB2,7861
15,C.J. Stroud,QB3,7832
16,Nico Collins,WR8,7709
17,Marvin Harrison Jr.,WR9,7678
18,Sam LaPorta,TE1,7589
19,Lamar Jackson,QB4,7558
20,De'Von Achane,RB7,7476
21,Jalen Hurts,QB5,7472
22,Jaylen Waddle,WR10,7406
23,Cooper Kupp,WR11,7400
24,Isiah Pacheco,RB8,7354
25,Brandon Aiyuk,WR12,7338
26,Puka Nacua,WR13,7297
27,Anthony Richardson,QB6,7292
28,James Cook,RB9,7231
29,Kenneth Walker III,RB10,7192
30,Kyren Williams,RB11,7168
31,D.J. Moore,WR14,7135
32,Travis Etienne,RB12,7109
33,Deebo Samuel,WR15,7105
34,Mike Evans,WR16,7044
35,Trey McBride,TE2,7026
36,DeVonta Smith,WR17,6935
37,Malik Nabers,WR18,6926
38,Chris Olave,WR19,6881
39,Drake London,WR20,6751
40,DK Metcalf,WR21,6706
41,Dalton Kincaid,TE3,6701
42,Joe Mixon,RB13,6645
43,Josh Jacobs,RB14,6554
44,Rashee Rice,WR22,6511
45,Derrick Henry,RB15,6385
46,Mark Andrews,TE4,6292
47,Kyler Murray,QB7,6285
48,Alvin Kamara,RB16,6272
49,Davante Adams,WR23,6244
50,James Conner,RB17,6201
51,Jayden Daniels,QB8,6149
52,George Pickens,WR24,6145
53,Caleb Williams,QB9,6131
54,Tee Higgins,WR25,6093
55,Xavier Worthy,WR26,6055
56,Rachaad White,RB18,6047
57,Travis Kelce,TE5,6044
58,Zay Flowers,WR27,6041
59,David Montgomery,RB19,6029
60,Jordan Love,QB10,6012
61,Chris Godwin,WR28,5997
62,Michael Pittman,WR29,5876
63,Brian Robinson,RB20,5755
64,Rhamondre Stevenson,RB21,5734
65,Tony Pollard,RB22,5674
66,Joe Burrow,QB11,5658
67,Rome Odunze,WR30,5656
68,Kyle Pitts,TE6,5636
69,Stefon Diggs,WR31,5629
70,George Kittle,TE7,5567
71,Dak Prescott,QB12,5509
72,Brian Thomas Jr.,WR32,5508
73,Terry McLaurin,WR33,5468
74,Ladd McConkey,WR34,5375
75,Jaxon Smith-Njigba,WR35,5357
76,Brock Bowers,TE8,5350
77,Amari Cooper,WR36,5223
78,Jonathon Brooks,RB23,5214
79,D'Andre Swift,RB24,5204
80,Najee Harris,RB25,5192
81,Christian Kirk,WR37,5161
82,Christian Watson,WR38,5152
83,Aaron Jones,RB26,5130
84,Baker Mayfield,QB13,5124
85,Justin Herbert,QB14,5119
86,Jerome Ford,RB27,5103
87,Isaiah Likely,TE9,5085
88,Tua Tagovailoa,QB15,5058
89,J.K. Dobbins,RB28,5032
90,Keon Coleman,WR39,5029
91,Trevor Lawrence,QB16,5004
92,Jordan Addison,WR40,4984
93,Jake Ferguson,TE10,4963
94,Evan Engram,TE11,4962
95,Diontae Johnson,WR41,4958
96,Brock Purdy,QB17,4955
97,T.J. Hockenson,TE12,4869
98,Trey Benson,RB29,4864
99,Zamir White,RB30,4858
100,Zack Moss,RB31,4854
101,Keenan Allen,WR42,4844
102,Blake Corum,RB32,4843
103,Marquise Brown,WR43,4815
104,Jameson Williams,WR44,4799
105,Tyjae Spears,RB33,4762
106,Chase Brown,RB34,4666
107,Adonai Mitchell,WR45,4653
108,Javonte Williams,RB35,4638
109,Raheem Mostert,RB36,4609
110,Zach Charbonnet,RB37,4603
111,Jaylen Warren,RB38,4532
112,David Njoku,TE13,4528
113,Jared Goff,QB18,4504
114,Khalil Shakir,WR46,4469
115,San Francisco 49ers,DST1,4449
116,Jakobi Meyers,WR47,4448
117,Bucky Irving,RB39,4414
118,Romeo Doubs,WR48,4404
119,Dalton Schultz,TE14,4396
120,Ja'Lynn Polk,WR49,4390
121,Xavier Legette,WR50,4377
122,Josh Downs,WR51,4371
123,Kirk Cousins,QB19,4334
124,Nick Chubb,RB40,4319
125,Pat Freiermuth,TE15,4299
126,Devin Singletary,RB41,4269
127,Courtland Sutton,WR52,4268
128,Matthew Stafford,QB20,4231
129,Aaron Rodgers,QB21,4201
130,Josh Palmer,WR53,4198
131,Jaylen Wright,RB42,4192
132,DeAndre Hopkins,WR54,4179
133,Drake Maye,QB22,4154
134,Tyler Lockett,WR55,4120
135,Chuba Hubbard,RB43,4110
136,Justin Tucker,PK1,4093
137,Gus Edwards,RB44,4086
138,Dallas Cowboys,DST2,4077
139,Braelon Allen,RB45,4022
140,Curtis Samuel,WR56,4000
141,Dallas Goedert,TE16,3998
142,Baltimore Ravens,DST3,3998
143,Austin Ekeler,RB46,3967
144,Justin Fields,QB23,3951
145,Ricky Pearsall,WR57,3951
146,Gabriel Davis,WR58,3950
147,Tyler Allgeier,RB47,3904
148,Jerry Jeudy,WR59,3896
149,Mike Williams,WR60,3895
150,Cole Kmet,TE17,3865
151,Bryce Young,QB24,3862
152,Ty Chandler,RB48,3830
153,Brandin Cooks,WR61,3815
154,MarShawn Lloyd,RB49,3812
155,Taysom Hill,QB25,3781
156,Audric Estime,RB50,3745
157,Will Levis,QB26,3737
158,Rashod Bateman,WR62,3729
159,Roman Wilson,WR63,3723
160,Jalen McMillan,WR64,3722
161,New York Jets,DST4,3714
162,Deshaun Watson,QB27,3704
163,Wan'Dale Robinson,WR65,3702
164,Bo Nix,QB28,3689
165,Dawson Knox,TE18,3664
166,Luke McCaffrey,WR66,3661
167,Darnell Mooney,WR67,3633
168,J.J. McCarthy,QB29,3617
169,Cleveland Browns,DST5,3562
170,Noah Fant,TE19,3558
171,Tank Bigsby,RB51,3538
172,Ja'Tavion Sanders,TE20,3527
173,Alec Pierce,WR68,3526
174,Harrison Butker,PK2,3523
175,Michael Mayer,TE21,3522
176,Ezekiel Elliott,RB52,3515
177,Antonio Gibson,RB53,3435
178,Luke Musgrave,TE22,3434
179,Buffalo Bills,DST6,3430
180,Alexander Mattison,RB54,3428
