,Player Name,Pos,Value
181,Roschon Johnson,RB55,3424
182,Jahan Dotson,WR69,3419
183,Quentin Johnston,WR70,3411
184,Michael Penix Jr.,QB30,3407
185,Jermaine Burton,WR71,3402
186,Cade Otton,TE23,3402
187,Kendre Miller,RB56,3388
188,Adam Thielen,WR72,3388
189,Khalil Herbert,RB57,3350
190,Russell Wilson,QB31,3331
191,Younghoe Koo,PK3,3331
192,Troy Franklin,WR73,3323
193,Jalin Hyatt,WR74,3308
194,Malachi Corley,WR75,3304
195,Greg Dulcich,TE24,3290
196,Kansas City Chiefs,DST7,3279
197,Rondale Moore,WR76,3261
198,Elijah Moore,WR77,3259
199,Kendrick Bourne,WR78,3252
200,Treylon Burks,WR79,3248
201,Pittsburgh Steelers,DST8,3240
202,Chigoziem Okonkwo,TE25,3233
203,Hunter Henry,TE26,3230
204,Dameon Pierce,RB58,3175
205,Darius Slayton,WR80,3138
206,Marvin Mims,WR81,3100
207,Philadelphia Eagles,DST9,3088
208,Will Shipley,RB59,3072
209,Tyler Boyd,WR82,3070
210,Daniel Jones,QB32,2960
211,Mike Gesicki,TE27,2944
212,Tutu Atwell,WR83,2926
213,Jamaal Williams,RB60,2889
214,Zay Jones,WR84,2887
215,D.J. Chark,WR85,2845
216,Brenden Rice,WR86,2827
217,Josh Reynolds,WR87,2798
218,Elijah Mitchell,RB61,2787
219,Derek Carr,QB33,2763
220,Evan McPherson,PK4,2748
221,Tyler Bass,PK5,2698
222,Miles Sanders,RB62,2675
223,John Metchie,WR88,2662
224,Kenneth Gainwell,RB63,2609
225,Jonnu Smith,TE29,2510
226,Trey Sermon,RB64,2501
227,Jalen Tolbert,WR90,2473
228,Tyler Higbee,TE30,2449
229,Noah Gray,TE31,2369
230,Jake Elliott,PK6,2359
231,Gerald Everett,TE32,2345
232,D'Onta Foreman,RB65,2302
233,Cedric Tillman,WR91,2292
234,Jelani Woods,TE33,2292
235,Devontez Walker,WR92,2286
236,Eric Gray,RB67,2224
237,Sam Howell,QB34,2193
238,Darnell Washington,TE34,2165
239,Mecole Hardman,WR93,2135
240,Daniel Carlson,PK7,2087
241,Miami Dolphins,DST10,2041
242,Pierre Strong Jr.,RB68,2015
243,Jeffery Wilson,RB69,1978
244,Calvin Austin III,WR94,1935
245,Clyde Edwards-Helaire,RB70,1924
246,Van Jefferson,WR95,1907
247,Deuce Vaughn,RB71,1890
248,Tyquan Thornton,WR96,1882
249,Allen Lazard,WR97,1811
250,Parker Washington,WR98,1806
251,Brevin Jordan,TE35,1738
252,AJ Dillon,RB72,1736
253,Israel Abanikanda,RB73,1733
254,Sean Tucker,RB74,1732
255,Marquez Valdes-Scantling,WR99,1731
256,Jason Sanders,PK8,1731
257,New Orleans Saints,DST11,1720
258,Kenny McIntosh,RB75,1697
259,Green Bay Packers,DST12,1663
260,Xavier Hutchinson,WR101,1627
261,David Bell,WR102,1619
262,Jaheim Bell,TE37,1596
263,Hassan Haskins,RB76,1577
264,Jason Myers,PK9,1572
265,KJ Hamler,WR103,1546
266,Dalvin Cook,RB77,1510
267,Skyy Moore,WR104,1508
268,Wil Lutz,PK10,1506
269,Michael Carter,RB78,1491
270,Keaontay Ingram,RB79,1457
271,Kayshon Boutte,WR105,1448
272,Jase McClellan,RB80,1413
273,Damien Harris,RB81,1370
274,Justyn Ross,WR106,1359
275,Laviska Shenault,WR109,1334
276,Irv Smith,TE39,1318
277,Adam Trautman,TE40,1315
278,Desmond Ridder,QB36,1314
279,Matt Gay,PK11,1308
280,Odell Beckham,WR112,1275
281,Seattle Seahawks,DST13,1266
282,New England Patriots,DST14,1240
283,Austin Hooper,TE41,1237
284,Kenny Pickett,QB37,1224
285,Los Angeles Rams,DST15,1209
286,Tyrion Davis-Price,RB87,1206
287,Isaiah Spiller,RB89,1201
288,Michael Gallup,WR118,1201
289,Chase Claypool,WR119,1199
290,Rakim Jarrett,WR121,1196
291,Russell Gage,WR120,1196
292,Kareem Hunt,RB91,1191
293,Hendon Hooker,QB39,1189
294,Sterling Shepard,WR123,1187
295,Mac Jones,QB40,1185
296,Sam Darnold,QB41,1184
297,Marquez Callaway,WR125,1184
298,Mike Badgley,PK13,1178
299,Kadarius Toney,WR127,1177
300,Robert Woods,WR128,1176
301,Jameis Winston,QB43,1175
302,Jimmy Garoppolo,QB44,1172
303,Trey Lance,QB45,1169
304,Zach Evans,RB98,1161
305,Kenyan Drake,RB99,1160
306,Greg Zuerlein,PK14,1160
307,Zach Wilson,QB46,1159
308,Terrace Marshall,WR135,1158
309,Parris Campbell,WR134,1158
310,Graham Gano,PK15,1157
311,Julio Jones,WR137,1154
312,Indianapolis Colts,DST16,1150
313,Detroit Lions,DST17,1136
314,Hunter Renfrow,WR146,1135
315,Carson Wentz,QB47,1135
316,Chase Edmonds,RB104,1134
317,Michael Thomas,WR150,1130
318,Malik Willis,QB49,1118
319,Darren Waller,TE50,1095
320,Cameron Dicker,PK16,1094
321,Jalen Guyton,WR157,1092
322,Donovan Peoples-Jones,WR158,1091
323,Albert Okwuegbunam,TE51,1079
324,Tampa Bay Buccaneers,DST18,1033
325,James Robinson,RB118,1025
326,Cameron Latu,TE54,1002
327,Allen Robinson,WR161,994
328,Darrell Henderson,RB121,986
329,Leonard Fournette,RB126,955
330,Matt Prater,PK17,953
331,Jacksonville Jaguars,DST19,943
332,Chris Boswell,PK19,909
333,Joey Slye,PK21,892
334,Los Angeles Chargers,DST20,879
335,Houston Texans,DST21,831
336,Cairo Santos,PK22,759
337,Chicago Bears,DST22,691
338,Dustin Hopkins,PK23,684
339,Minnesota Vikings,DST23,668
340,Kyle Trask,QB55,663
341,Jaren Hall,QB56,641
342,Ka'imi Fairbairn,PK24,591
343,Washington Commanders,DST24,564
344,Jake Moody,PK25,542
345,Cincinnati Bengals,DST25,486
346,Denver Broncos,DST26,481
347,Drew Lock,QB60,420
348,Chase McLaughlin,PK28,395
349,Nick Folk,PK29,363
350,Blake Grupe,PK30,246
351,Brandon Aubrey,PK31,243
352,Las Vegas Raiders,DST27,232
353,Eddy Pineiro,PK32,196
354,Austin Seibert,PK45,104
355,Arizona Cardinals,DST28,49
356,Will Reichard,PK59,38
357,New York Giants,DST29,37
358,Cam Little,PK72,24
359,Carolina Panthers,DST30,21
360,Atlanta Falcons,DST31,6
361,Tennessee Titans,DST32,0
362,Joshua Karty,PK95,0
363,Jake Bates,PK97,0
364,Brayden Narveson,PK99,0
365,Spencer Shrader,PK100,0
366,2025 Early 1st,PICK,5410.400000000001
367,2026 Early 1st,PICK,4803.2
368,Jayden Reed,WR22,4788.8
369,2025 Mid 1st,PICK,4676.8
370,Tank Dell,WR25,4661.6
371,2027 Early 1st,PICK,4507.2
372,2025 Late 1st,PICK,4383.2
373,2026 Mid 1st,PICK,4283.2
374,2026 Late 1st,PICK,3956.0
375,2027 Mid 1st,PICK,3931.2000000000003
376,2027 Late 1st,PICK,3657.6000000000004
377,2025 Early 2nd,PICK,3436.8
378,Calvin Ridley,WR45,3198.4
379,2025 Mid 2nd,PICK,3030.4
380,2026 Early 2nd,PICK,2965.6000000000004
381,Rashid Shaheed,WR53,2814.4
382,Dontayvion Wicks,WR54,2792.8
383,Jordan Mason,RB40,2747.2000000000003
384,2027 Early 2nd,PICK,2740.0
385,2025 Late 2nd,PICK,2702.4
386,2026 Mid 2nd,PICK,2668.8
387,Jaleel McLaughlin,RB42,2648.0
388,Michael Wilson,WR60,2617.6000000000004
389,Ben Sinnott,TE14,2594.4
390,2027 Mid 2nd,PICK,2517.6000000000004
391,2026 Late 2nd,PICK,2498.4
392,2027 Late 2nd,PICK,2344.8
393,Rico Dowdle,RB49,2282.4
394,Ray Davis,RB50,2272.0
395,Demario Douglas,WR67,2264.0
396,Keaton Mitchell,RB51,2225.6
397,Javon Baker,WR70,2194.4
398,Justice Hill,RB55,2148.8
399,Tucker Kraft,TE20,2128.8
400,Andrei Iosivas,WR73,2037.6000000000001
401,Greg Dortch,WR76,2013.6000000000001
402,2025 Early 3rd,PICK,1992.0
403,Kimani Vidal,RB57,1970.4
404,Tyrone Tracy,RB58,1965.6000000000001
405,Jordan Whittington,WR83,1874.4
406,2025 Mid 3rd,PICK,1802.4
407,2026 Early 3rd,PICK,1767.2
408,2025 Late 3rd,PICK,1681.6000000000001
409,2026 Mid 3rd,PICK,1672.8000000000002
410,Geno Smith,QB30,1664.8000000000002
411,2027 Early 3rd,PICK,1628.0
412,Colby Parkinson,TE26,1615.2
413,Carson Steele,RB65,1608.0
414,Malik Washington,WR86,1590.4
415,Theo Johnson,TE27,1533.6000000000001
416,Jonathan Mingo,WR88,1525.6000000000001
417,Emanuel Wilson,RB68,1510.4
418,2027 Mid 3rd,PICK,1489.6000000000001
419,Demarcus Robinson,WR89,1458.4
420,Trey Palmer,WR90,1457.6000000000001
421,Dylan Laube,RB69,1447.2
422,2026 Late 3rd,PICK,1444.0
423,Dyami Brown,WR92,1415.2
424,Isaac Guerendo,RB70,1400.8000000000002
425,2027 Late 3rd,PICK,1356.0
426,2025 Early 4th,PICK,1347.2
427,Tre Tucker,WR96,1339.2
428,Juwan Johnson,TE31,1321.6000000000001
429,Jauan Jennings,WR98,1313.6000000000001
430,Gardner Minshew,QB33,1294.4
431,Spencer Rattler,QB34,1292.0
432,Jalen Nailor,WR100,1277.6000000000001
433,Tyler Conklin,TE33,1253.6000000000001
434,Jacob Cowing,WR105,1244.0
435,Luke Schoonmaker,TE34,1190.4
436,A.T. Perry,WR108,1176.0
437,2026 Early 4th,PICK,1159.2
438,Samaje Perine,RB74,1158.4
439,2025 Mid 4th,PICK,1156.0
440,Xavier Gipson,WR109,1140.0
441,Cam Akers,RB76,1137.6000000000001
442,Cade Stover,TE36,1115.2
443,K.J. Osborn,WR111,1109.6000000000001
444,Daniel Bellinger,TE38,1095.2
445,2025 Late 4th,PICK,1091.2
446,Erick All,TE39,1069.6000000000001
447,Devaughn Vele,WR115,1063.2
448,Johnny Wilson,WR116,1056.8
449,2026 Mid 4th,PICK,1052.8
450,Sione Vaki,RB79,1048.0
451,Tyler Johnson,WR117,1047.2
452,Jared Wiley,TE40,1041.6000000000001
453,Rasheen Ali,RB81,1010.4000000000001
454,2027 Early 4th,PICK,973.6
455,Noah Brown,WR123,947.2
456,Bo Melton,WR125,932.0
457,2027 Mid 4th,PICK,923.2
458,Emari Demercado,RB86,919.2
459,2026 Late 4th,PICK,916.0
460,Tahj Washington,WR126,915.2
461,Ray-Ray McCloud,WR127,894.4000000000001
462,Zach Ertz,TE42,893.6
463,Isaiah Davis,RB88,880.0
464,2027 Late 4th,PICK,833.6
465,Frank Gore Jr.,RB90,824.8000000000001
466,Kylen Granson,TE47,788.8000000000001
467,Ty Johnson,RB94,783.2
468,Jamari Thrash,WR131,777.6
469,Hayden Hurst,TE48,772.0
470,JuJu Smith-Schuster,WR132,768.8000000000001
471,Olamide Zaccheaus,WR133,767.2
472,Aidan O'Connell,QB39,761.6
473,Tyler Goodson,RB95,753.6
474,Justin Watson,WR134,743.2
475,Foster Moreau,TE49,739.2
476,Blake Watson,RB96,733.6
477,Ainias Smith,WR135,730.4000000000001
478,Davis Allen,TE50,729.6
479,Ryan Flournoy,WR136,728.8000000000001
480,Jake Bobo,WR137,728.0
481,Ronnie Rivers,RB97,706.4000000000001
482,Bub Means,WR138,699.2
483,Kalif Raymond,WR139,687.2
484,Tommy Tremble,TE51,685.6
485,Chris Evans,RB98,682.4000000000001
486,Tyler Scott,WR140,671.2
487,Brenton Strange,TE52,666.4000000000001
488,Jeremy Ruckert,TE53,656.0
489,Mack Hollins,WR142,647.2
490,Jacoby Brissett,QB40,644.8000000000001
491,Ronnie Bell,WR143,644.8000000000001
492,Will Dissly,TE54,633.6
493,Cordarrelle Patterson,RB101,627.2
494,Joe Milton,QB41,619.2
495,Derius Davis,WR146,618.4000000000001
496,Trayveon Williams,RB102,617.6
497,Charlie Jones,WR147,604.8000000000001
498,Devin Duvernay,WR148,580.0
499,Peyton Hendershot,TE57,571.2
500,Jordan Travis,QB43,566.4
501,Brock Wright,TE58,563.2
502,Mason Tipton,WR150,552.0
503,Cedrick Wilson,WR151,540.8000000000001
504,Trenton Irwin,WR152,539.2
505,Josh Whyle,TE59,537.6
506,KaVontae Turpin,WR155,523.2
507,Nyheim Hines,RB104,522.4
508,DeeJay Dallas,RB105,519.2
509,AJ Barner,TE60,518.4
510,Braxton Berrios,WR156,517.6
511,Elijah Higgins,TE61,516.0
512,Julius Chestnut,RB107,502.40000000000003
513,Nick Westbrook-Ikhine,WR157,493.6
514,Josh Oliver,TE62,492.8
515,Craig Reynolds,RB109,492.8
516,Evan Hull,RB110,491.20000000000005
517,D'Ernest Johnson,RB111,480.8
518,Jake Browning,QB46,477.6
519,Anthony Schwartz,WR158,477.6
520,Dorian Thompson-Robinson,QB47,468.8
521,Brandon Powell,WR159,468.8
522,Tylan Wallace,WR160,466.40000000000003
523,Malik Heath,WR161,464.8
524,Travis Homer,RB112,461.6
525,Scotty Miller,WR162,460.0
526,Will Mallory,TE64,458.40000000000003
527,Deneric Prince,RB113,452.8
528,Andrew Ogletree,TE65,449.6
529,Velus Jones,WR164,448.8
530,Chris Rodriguez,RB114,444.8
531,Tre'Quan Smith,WR165,442.40000000000003
532,Isaiah Hodgins,WR166,434.40000000000003
533,Deonte Harty,WR169,423.20000000000005
534,Tim Patrick,WR168,423.20000000000005
535,Drew Sample,TE67,421.6
536,Trent Sherfield,WR170,418.40000000000003
537,DeWayne McBride,RB116,414.40000000000003
538,Jaret Patterson,RB117,412.8
539,Kyle Philips,WR171,405.6
540,Kendall Milton,RB119,396.0
541,Harrison Bryant,TE68,391.20000000000005
542,Tip Reiman,TE69,387.20000000000005
543,Nelson Agholor,WR172,357.6
544,John Bates,TE70,345.6
545,Mo Alie-Cox,TE71,332.0
546,Lucas Krull,TE72,323.20000000000005
547,Malik Davis,RB122,320.0
548,Justin Shorter,WR174,317.6
549,Denzel Mims,WR175,307.20000000000005
550,Raheem Blackshear,RB123,298.40000000000003
551,Dillon Johnson,RB124,295.2
552,Jawhar Jordan,RB125,289.6
553,Kevin Harris,RB126,270.40000000000003
554,Cole Turner,TE74,264.0
555,Ian Thomas,TE75,258.40000000000003
556,Jarrett Stidham,QB53,256.0
557,Hunter Long,TE76,240.0
558,Quez Watkins,WR179,228.0
559,Joshua Dobbs,QB54,219.20000000000002
560,Jason Brownlee,WR180,215.20000000000002
561,Malik Cunningham,WR181,211.20000000000002
562,Zonovan Knight,RB128,209.60000000000002
563,Donald Parham,TE78,208.8
564,Jalen Reagor,WR182,208.8
565,Chris Brooks,RB130,208.0
566,David Moore,WR183,204.8
567,Kene Nwangwu,RB131,202.4
568,Tommy DeVito,QB55,184.0
569,Tyler Huntley,QB56,182.4
570,Isaiah McKenzie,WR186,180.0
571,Davis Mills,QB57,172.0
572,Lil'Jordan Humphrey,WR188,172.0
573,Ihmir Smith-Marsette,WR191,153.60000000000002
574,Taylor Heinicke,QB58,147.20000000000002
575,Tyson Bagent,QB68,135.20000000000002
576,Tyrod Taylor,QB67,135.20000000000002
577,Joe Flacco,QB70,133.6
578,Clayton Tune,QB71,133.6
579,Mason Rudolph,QB72,129.6
580,Stetson Bennett,QB74,121.60000000000001
581,Skylar Thompson,QB76,80.0
582,Nick Mullens,QB77,77.60000000000001
583,Marcus Mariota,QB78,73.60000000000001
584,Kyle Allen,QB84,16.0
