,Player Name,Pos,Value,NFL_Team
0,Ja'Marr Chase,WR1,9999,CIN
1,Saquon Barkley,RB1,9764,PHI
2,Justin Jefferson,WR2,9737,MIN
3,Lamar Jackson,QB1,9586,BAL
4,Bijan Robinson,RB2,9218,ATL
5,Derrick Henry,RB3,9105,BAL
6,Jahmyr Gibbs,RB4,8981,DET
7,CeeDee Lamb,WR3,8933,DAL
8,Amon-Ra St. Brown,WR4,8750,DET
9,Josh Allen,QB2,8748,BUF
10,Jayden Daniels,QB3,8559,WAS
11,A.J. Brown,WR5,8547,PHI
12,Malik Nabers,WR6,8474,NYG
13,Kyren Williams,RB5,8275,LAR
14,De'Von Achane,RB6,8207,MIA
15,Breece Hall,RB7,8052,NYJ
16,Nico Collins,WR7,8051,HOU
17,Joe Mixon,RB8,7946,HOU
18,Kenneth Walker III,RB9,7851,SEA
19,Brock Bowers,TE1,7846,LVR
20,Christian McCaffrey,RB10,7779,SFO
21,Jalen Hurts,QB4,7701,PHI
22,Garrett Wilson,WR8,7683,NYJ
23,Puka Nacua,WR9,7622,LAR
24,Drake London,WR10,7475,ATL
25,Alvin Kamara,RB11,7376,NOS
26,Jonathan Taylor,RB12,7249,IND
27,Joe Burrow,QB5,7163,CIN
28,James Cook,RB13,7126,BUF
29,DeVonta Smith,WR11,7039,PHI
30,George Pickens,WR12,7012,PIT
31,Marvin Harrison Jr.,WR13,7010,ARI
32,Josh Jacobs,RB14,7009,GBP
33,Tyreek Hill,WR14,6974,MIA
34,Trey McBride,TE2,6930,ARI
35,Cooper Kupp,WR15,6923,LAR
36,Brian Thomas Jr.,WR16,6831,JAC
37,DK Metcalf,WR17,6788,SEA
38,George Kittle,TE3,6740,SFO
39,Jayden Reed,WR18,6674,GBP
40,Terry McLaurin,WR19,6662,WAS
41,David Montgomery,RB15,6656,DET
42,Jordan Love,QB6,6652,GBP
43,Brian Robinson,RB16,6586,WAS
44,Kyler Murray,QB7,6568,ARI
45,Zay Flowers,WR20,6558,BAL
46,Baker Mayfield,QB8,6458,TBB
47,Travis Kelce,TE4,6442,KCC
48,Jaxon Smith-Njigba,WR21,6436,SEA
49,Tee Higgins,WR22,6373,CIN
50,Patrick Mahomes,QB9,6356,KCC
51,Chuba Hubbard,RB18,6308,CAR
52,Aaron Jones,RB17,6308,MIN
53,Mike Evans,WR23,6287,TBB
54,Ladd McConkey,WR24,6216,LAC
55,Brock Purdy,QB10,6194,SFO
56,Chris Olave,WR25,6129,NOS
57,Bucky Irving,RB19,6128,TBB
58,Deebo Samuel,WR26,6047,SFO
59,C.J. Stroud,QB11,6030,HOU
60,Isiah Pacheco,RB20,6021,KCC
61,Rome Odunze,WR27,5981,CHI
62,James Conner,RB21,5962,ARI
63,D'Andre Swift,RB22,5913,CHI
64,Josh Downs,WR28,5887,IND
65,Darnell Mooney,WR29,5816,ATL
66,Rhamondre Stevenson,RB23,5760,NEP
67,J.K. Dobbins,RB24,5739,LAC
68,Davante Adams,WR30,5733,NYJ
69,Sam LaPorta,TE5,5702,DET
70,D.J. Moore,WR31,5673,CHI
71,Jared Goff,QB12,5650,DET
72,Tank Dell,WR32,5629,HOU
73,Jaylen Waddle,WR33,5627,MIA
74,Chase Brown,RB25,5619,CIN
75,Jameson Williams,WR34,5606,DET
76,Tony Pollard,RB26,5502,TEN
