,Player Name,Pos,Value,NFL_Team
147,Devin Singletary,RB45,3960,NYG
148,Tyler Lockett,WR59,3936,SEA
149,Keenan Allen,WR60,3924,CHI
150,Dalton Schultz,TE18,3922,HOU
151,Alec Pierce,WR61,3922,IND
152,Rashod Bateman,WR61,3911,BAL
153,Roschon Johnson,RB46,3910,CHI
154,Adonai Mitchell,WR62,3908,IND
155,Aaron Rodgers,QB25,3869,NYJ
156,Jerry Jeudy,WR63,3852,CLE
157,Raheem Mostert,RB47,3839,MIA
158,Hunter Henry,TE19,3805,NEP
159,Zach Ertz,TE20,3786,WAS
160,Ty Chandler,RB48,3756,MIN
161,Blake Corum,RB49,3750,LAR
162,Joshua Palmer,WR64,3741,LAC
163,Jaylen Warren,RB50,3708,PIT
164,Mike Gesicki,TE21,3694,CIN
165,Jalen Tolbert,WR65,3692,DAL
166,Jerome Ford,RB51,3682,CLE
167,Ja'Lynn Polk,WR66,3666,NEP
168,Gabriel Davis,WR67,3639,JAC
169,Kendre Miller,RB52,3625,NOS
170,Luke McCaffrey,WR68,3582,WAS
171,Derek Carr,QB26,3558,NOS
172,Allen Lazard,WR69,3555,NYJ
173,Baltimore Ravens,DST3,3522,BAL
174,Harrison Butker,PK2,3518,KCC
175,MarShawn Lloyd,RB53,3487,GBP
176,Jake Elliott,PK3,3446,PHI
177,New York Jets,DST4,3434,NYJ
178,Noah Fant,TE22,3425,SEA
179,Kansas City Chiefs,DST5,3423,KCC
180,Khalil Herbert,RB54,3418,CHI
181,Troy Franklin,WR70,3376,DEN
182,Jonnu Smith,TE23,3370,MIA
183,Curtis Samuel,WR71,3363,BUF
184,Darius Slayton,WR72,3354,NYG
185,Michael Penix Jr.,QB27,3326,ATL
186,Justin Tucker,PK4,3322,BAL
187,Tutu Atwell,WR73,3259,LAR
188,Elijah Moore,WR74,3246,CLE
189,Roman Wilson,WR75,3246,PIT
190,Evan McPherson,PK5,3236,CIN
191,Dameon Pierce,RB55,3200,HOU
192,Malachi Corley,WR76,3194,NYJ
193,Brandin Cooks,WR77,3186,DAL
194,Zamir White,RB56,3178,LVR
195,Dawson Knox,TE24,3136,BUF
196,Antonio Gibson,RB57,3117,NEP
197,Josh Reynolds,WR78,3115,DEN
198,Taysom Hill,QB28,3093,NOS
199,Daniel Jones,QB29,3080,NYG
200,Trey Sermon,RB58,3055,IND
201,Minnesota Vikings,DST6,3025,MIN
202,Zay Jones,WR79,3014,ARI
203,Gus Edwards,RB59,2994,LAC
204,Adam Thielen,WR80,2980,CAR
205,Buffalo Bills,DST7,2963,BUF
206,Ja'Tavion Sanders,TE25,2961,CAR
207,Jermaine Burton,WR81,2947,CIN
208,Tyler Bass,PK6,2918,BUF
209,Luke Musgrave,TE26,2911,GBP
210,Calvin Austin III,WR82,2864,PIT
211,Treylon Burks,WR83,2861,TEN
212,Marquise Brown,WR84,2858,KCC
213,Mike Williams,WR85,2840,NYJ
214,Audric Estime,RB60,2837,DEN
215,Will Levis,QB30,2794,TEN
216,Greg Dulcich,TE27,2775,DEN
217,Ezekiel Elliott,RB61,2765,DAL
218,Ray Davis,RB62,2744,BUF
219,Marvin Mims,WR86,2680,DEN
220,Rondale Moore,WR87,2641,ATL
221,Tyler Boyd,WR88,2622,TEN
222,Miles Sanders,RB63,2601,CAR
223,Tyler Higbee,TE28,2588,LAR
224,Philadelphia Eagles,DST8,2541,PHI
225,Jahan Dotson,WR89,2535,PHI
226,Noah Gray,TE29,2531,KCC
227,Cleveland Browns,DST9,2526,CLE
228,Michael Mayer,TE30,2509,LVR
229,Dyami Brown,WR90,2502,WAS
230,Jamaal Williams,RB64,2495,NOS
231,Jalin Hyatt,WR91,2493,NYG
232,John Metchie,WR92,2458,HOU
233,D'Onta Foreman,RB65,2445,CLE
234,Detroit Lions,DST10,2445,DET
235,Russell Wilson,QB31,2406,PIT
236,Cedric Tillman,WR93,2403,CLE
237,New Orleans Saints,DST11,2398,NOS
238,Kendrick Bourne,WR94,2393,NEP
239,Chigoziem Okonkwo,TE31,2324,TEN
240,Bryce Young,QB32,2320,CAR
241,D.J. Chark,WR95,2314,LAC
242,Parker Washington,WR96,2312,JAC
243,Dallas Cowboys,DST12,2278,DAL
244,Sean Tucker,RB66,2275,TBB
245,Devontez Walker,WR97,2251,BAL
246,Clyde Edwards-Helaire,RB67,2217,KCC
247,Kenneth Gainwell,RB68,2214,PHI
248,Los Angeles Chargers,DST13,2174,LAC
249,JuJu Smith-Schuster,WR98,2121,KCC
250,Daniel Carlson,PK7,2112,LVR
251,Mecole Hardman,WR99,2004,KCC
252,Van Jefferson,WR100,1993,PIT
253,Deshaun Watson,QB33,1985,CLE
254,Xavier Hutchinson,WR101,1978,HOU
255,J.J. McCarthy,QB34,1931,MIN
256,Jason Myers,PK8,1931,SEA
257,Eric Gray,RB70,1922,NYG
258,Kayshon Boutte,WR102,1920,NEP
259,Jeffery Wilson,RB71,1897,MIA
260,Will Shipley,RB72,1850,PHI
261,Pierre Strong Jr.,RB73,1830,CLE
262,Seattle Seahawks,DST14,1826,SEA
263,Chicago Bears,DST15,1820,CHI
264,Brevin Jordan,TE33,1809,HOU
265,Darnell Washington,TE34,1797,PIT
266,Deuce Vaughn,RB74,1757,DAL
267,Tyquan Thornton,WR103,1747,NEP
268,Jason Sanders,PK9,1732,MIA
269,Green Bay Packers,DST16,1691,GBP
270,Elijah Mitchell,RB76,1584,SFO
271,KJ Hamler,WR106,1584,BUF
272,Skyy Moore,WR107,1566,KCC
273,Cameron Dicker,PK10,1542,LAC
274,Johnny Wilson,WR108,1523,PHI
275,Houston Texans,DST17,1479,HOU
276,Jelani Woods,TE35,1466,IND
277,Jase McClellan,RB77,1457,ATL
278,David Bell,WR110,1438,CLE
279,Matt Gay,PK11,1407,IND
280,Sam Howell,QB35,1397,SEA
281,Robert Woods,WR111,1362,HOU
282,Gerald Everett,TE36,1360,CHI
283,Greg Zuerlein,PK12,1346,NYJ
284,Brenden Rice,WR112,1338,LAC
285,Austin Hooper,TE38,1285,NEP
286,Brandon McManus,PK13,1255,GBP
287,Zach Wilson,QB36,1250,DEN
288,Marquez Valdes-Scantling,WR114,1222,NOS
289,Parris Campbell,WR115,1195,FA
290,Kenyan Drake,RB79,1173,FA
291,Kenny Pickett,QB37,1170,PHI
292,Julio Jones,WR119,1167,FA
293,Hunter Renfrow,WR120,1166,FA
294,Dalvin Cook,RB84,1162,DAL
295,Wil Lutz,PK14,1161,DEN
296,Carson Wentz,QB39,1148,KCC
297,Chase Edmonds,RB90,1147,TBB
298,Jaheim Bell,TE43,1142,NEP
299,AJ Dillon,RB92,1140,GBP
300,Tyrion Davis-Price,RB95,1139,FA
301,Israel Abanikanda,RB96,1136,NYJ
302,Russell Gage,WR141,1135,FA
303,Hassan Haskins,RB98,1132,LAC
304,Malik Willis,QB42,1131,GBP
305,Matt Prater,PK15,1131,ARI
306,Hendon Hooker,QB43,1127,DET
307,Michael Carter,RB101,1127,FA
308,Terrace Marshall,WR145,1127,FA
309,Sterling Shepard,WR146,1125,TBB
310,Marquez Callaway,WR148,1125,FA
311,Mac Jones,QB44,1124,JAC
312,Adam Trautman,TE46,1123,DEN
313,Jimmy Garoppolo,QB46,1116,LAR
314,Jameis Winston,QB47,1114,CLE
315,Tampa Bay Buccaneers,DST18,1110,TBB
316,Trey Lance,QB48,1109,DAL
317,Kadarius Toney,WR151,1109,CLE
318,Desmond Ridder,QB49,1105,LVR
319,Odell Beckham,WR153,1102,MIA
320,Laviska Shenault,WR154,1101,SEA
321,Miami Dolphins,DST19,1099,MIA
322,Graham Gano,PK16,1097,NYG
323,Chris Boswell,PK18,1062,PIT
324,Isaiah Spiller,RB115,1052,FA
325,Justyn Ross,WR157,1041,FA
326,Damien Harris,RB117,1041,FA
327,James Robinson,RB118,1038,FA
328,Zach Evans,RB120,1035,FA
329,Cameron Latu,TE53,1015,FA
330,Donovan Peoples-Jones,WR159,1007,FA
331,Greg Joseph,PK19,982,NYG
332,Allen Robinson,WR163,974,DET
333,Darren Waller,TE56,972,FA
334,Rakim Jarrett,WR164,972,TBB
335,Michael Thomas,WR165,969,FA
336,Leonard Fournette,RB126,968,FA
337,Joey Slye,PK20,965,NEP
338,New England Patriots,DST20,923,NEP
339,Brandon Aubrey,PK21,903,DAL
340,Cairo Santos,PK22,900,CHI
341,Ka'imi Fairbairn,PK23,858,HOU
342,Dustin Hopkins,PK24,853,CLE
343,Indianapolis Colts,DST21,797,IND
344,Los Angeles Rams,DST22,762,LAR
345,Jacksonville Jaguars,DST23,713,JAC
346,Kyle Trask,QB55,675,TBB
347,Jake Moody,PK26,549,SFO
348,Denver Broncos,DST24,513,DEN
349,Nick Folk,PK27,466,TEN
350,Cincinnati Bengals,DST25,460,CIN
351,Chase McLaughlin,PK28,444,TBB
352,Washington Commanders,DST26,443,WAS
353,Drew Lock,QB60,433,NYG
354,Blake Grupe,PK29,387,NOS
355,Riley Patterson,PK31,329,NYJ
356,Austin Seibert,PK37,208,WAS
357,Jake Bates,PK39,196,DET
358,Las Vegas Raiders,DST27,190,LVR
359,New York Giants,DST28,188,NYG
360,Chad Ryland,PK41,178,ARI
361,Eddy Pineiro,PK43,169,CAR
362,Atlanta Falcons,DST29,140,ATL
363,Will Reichard,PK45,137,MIN
364,Arizona Cardinals,DST30,108,ARI
365,Cam Little,PK55,76,JAC
366,Tennessee Titans,DST31,75,TEN
367,Anders Carlson,PK92,0,SFO
368,Jude McAtamney,PK98,0,NYG
369,Mike Badgley,PK72,0,DET
370,Matthew Wright,PK76,0,SFO
371,Carolina Panthers,DST32,0,CAR
372,Joshua Karty,PK97,0,LAR
373,Spencer Shrader,PK100,0,NYJ
374,2025 Early 1st,PICK,5665.0,FA
375,2026 Early 1st,PICK,5052.0,FA
376,2025 Mid 1st,PICK,4865.0,FA
377,2027 Early 1st,PICK,4732.0,FA
378,2026 Mid 1st,PICK,4458.0,FA
379,2025 Late 1st,PICK,4381.0,FA
380,Isiah Pacheco,RB17,4343.0,KCC
381,2027 Mid 1st,PICK,4100.0,FA
382,2026 Late 1st,PICK,4083.0,FA
383,Tyrone Tracy,RB20,3826.0,NYG
384,2027 Late 1st,PICK,3715.0,FA
385,Tucker Kraft,TE8,3565.0,GBP
386,2025 Early 2nd,PICK,3454.0,FA
387,2026 Early 2nd,PICK,3090.0,FA
388,2025 Mid 2nd,PICK,3078.0,FA
389,Dontayvion Wicks,WR49,2874.0,GBP
390,2026 Mid 2nd,PICK,2810.0,FA
391,2027 Early 2nd,PICK,2801.0,FA
392,2025 Late 2nd,PICK,2777.0,FA
393,Demario Douglas,WR57,2595.0,NEP
394,Calvin Ridley,WR58,2578.0,TEN
395,2027 Mid 2nd,PICK,2578.0,FA
396,2026 Late 2nd,PICK,2560.0,FA
397,Rico Dowdle,RB46,2412.0,DAL
398,Michael Wilson,WR62,2409.0,ARI
399,2027 Late 2nd,PICK,2323.0,FA
400,Kimani Vidal,RB48,2275.0,LAC
401,Ben Sinnott,TE19,2271.0,WAS
402,Jauan Jennings,WR71,2218.0,SFO
403,Isaac Guerendo,RB50,2204.0,SFO
404,2025 Early 3rd,PICK,2154.0,FA
405,Keaton Mitchell,RB52,2135.0,BAL
406,Andrei Iosivas,WR73,2096.0,CIN
407,Geno Smith,QB26,2092.0,SEA
408,Tre Tucker,WR76,2046.0,LVR
409,Jordan Whittington,WR77,2023.0,LAR
410,Jaleel McLaughlin,RB58,1986.0,DEN
411,2025 Mid 3rd,PICK,1974.0,FA
412,2026 Early 3rd,PICK,1960.0,FA
413,Trey Palmer,WR81,1839.0,TBB
414,2025 Late 3rd,PICK,1821.0,FA
